date,value
2010-12-31ï¼Œ0.24
2011-01-31,0.26
2011-02-28,0.2605
2011-03-31,0.25217391304347825
2011-04-30,0.21888888888888888
2011-05-31,0.19761904761904764
2011-06-30,0.18999999999999997
2011-07-31,0.19
2011-08-31,0.21363636363636365
2011-09-30,0.2322727272727273
2011-10-31,0.24227272727272728
2011-11-30,0.2559090909090909
2011-12-31,0.2855
2012-01-31,0.2831818181818182
2012-02-29,0.24857142857142855
2012-03-31,0.23999999999999996
2012-04-30,0.24
2012-05-31,0.23999999999999996
2012-06-30,0.24473684210526317
2012-07-31,0.24869565217391304
2012-08-31,0.23727272727272727
2012-09-30,0.2219047619047619
2012-10-31,0.21217391304347827
2012-11-30,0.21
2012-12-31,0.2105
2013-01-31,0.20478260869565218
2013-02-28,0.2
2013-03-31,0.20049999999999998
2013-04-30,0.2
2013-05-31,0.19666666666666666
2013-06-30,0.19142857142857145
2013-07-31,0.19043478260869565
2013-08-31,0.1823809523809524
2013-09-30,0.18
2013-10-31,0.17173913043478262
2013-11-30,0.16904761904761906
2013-12-31,0.1680952380952381
2014-01-31,0.16043478260869565
2014-02-28,0.15428571428571428
2014-03-31,0.15545454545454546
2014-04-30,0.150215
2014-05-31,0.150365
2014-06-30,0.1527318181818182
2014-07-31,0.1544
2014-08-31,0.15602
2014-09-30,0.15410454545454544
2014-10-31,0.15351739130434783
2014-11-30,0.15458571428571427
2014-12-31,0.16306666666666667
2015-01-31,0.1681
2015-02-28,0.17197619047619048
2015-03-31,0.17580434782608695
2015-04-30,0.18079499999999998
2015-05-31,0.18425263157894736
2015-06-30,0.18589545454545453
2015-07-31,0.18816521739130435
2015-08-31,0.1969
2015-09-30,0.20108636363636362
2015-10-31,0.19453636363636362
2015-11-30,0.20846666666666666
2015-12-31,0.35230952380952385

2016-01-31,0.42545
2016-02-29,0.43130476190476186
2016-03-31,0.4364047619047619
2016-04-30,0.43742857142857144
2016-05-31,0.4425210526315789
2016-06-30,0.45273636363636366
2016-07-31,0.4829047619047619
2016-08-31,0.5122454545454546
2016-09-30,0.527
2016-10-31,0.5307952380952381
2016-11-30,0.5631136363636364
2016-12-31,0.71196
2017-01-31,0.7713666666666666
2017-02-28,0.77671
2017-03-31,0.9286347826086956
2017-04-30,0.9906823529411765
2017-05-31,1.0114285714285713
2017-06-30,1.1714090909090908
2017-07-31,1.2280333333333333
2017-08-31,1.231781818181818
2017-09-30,1.2349142857142856
2017-10-31,1.2385590909090909
2017-11-30,1.2878863636363638
2017-12-31,1.4850526315789474
2018-01-31,1.5611045454545454
2018-02-28,1.60183
2018-03-31,1.7991380952380953
2018-04-30,1.8967300000000002
2018-05-31,1.9463047619047618
2018-06-30,2.0684428571428572
2018-07-31,2.079009090909091
2018-08-31,2.074122727272727
2018-09-30,2.175455
2018-10-31,2.285708695652174
2018-11-30,2.319272727272727
2018-12-31,2.4493470588235295
2019-01-31,2.5098045454545455
2019-02-28,2.4944800000000003
2019-03-31,2.489823809523809
2019-04-30,2.480115
2019-05-31,2.4440285714285714
2019-06-30,2.403375
2019-07-31,2.306108695652174
2019-08-31,2.1744761904761907
2019-09-30,2.0431714285714286
2019-10-31,1.8782478260869566
2019-11-30,1.7353666666666667
2019-12-31,1.74923
2020-01-31,1.6708363636363637
2020-02-29,1.6367450000000001
2020-03-31,0.9172318181818181
2020-04-30,0.68388
2020-05-31,0.19478947368421054
2020-06-30,0.18302272727272728
2020-07-31,0.17223913043478262
2020-08-31,0.16219999999999998
2020-09-30,0.15633333333333332
2020-10-31,0.1359
2020-11-30,0.1405
2020-12-31,0.1476
